time,csad,rm,abs_rm,rm2
2015Q2,0.013706866623392325,0.019896359611679307,0.019896359611679307,0.0003958651257972635
2015Q3,0.014122147226612477,0.011341766722187067,0.011341766722187067,0.00012863567238050996
2015Q4,0.011519168210641943,0.0048012900952804,0.0048012900952804,2.305238657903767e-05
2016Q1,0.014607239074137706,0.006400585174642396,0.006400585174642396,4.096749057785203e-05
2016Q2,0.01075919516526072,0.020687219592145888,0.020687219592145888,0.00042796105445366464
2016Q3,0.010967062933548172,0.020044990817406363,0.020044990817406363,0.00040180165686990544
2016Q4,0.01002943758639936,0.012165827856058456,0.012165827856058456,0.00014800736742324788
2017Q1,0.015631501644981814,0.0059349208086751076,0.0059349208086751076,3.522328500524479e-05
2017Q2,0.01207426675422975,0.026654010729157875,0.026654010729157875,0.0007104362879500632
2017Q3,0.012044238179123605,0.01645765476049961,0.01645765476049961,0.00027085440021579546
2017Q4,0.012038019296439773,0.007895909003211013,0.007895909003211013,6.234537898698872e-05
2018Q1,0.014471747829646173,0.013038586188963065,0.013038586188963065,0.0001700047298070184
2018Q2,0.01032611925388921,0.018512968840258583,0.018512968840258583,0.0003427300152803852
2018Q3,0.012354051468817372,0.01477810559721809,0.01477810559721809,0.00021839240504252866
2018Q4,0.010994626347312549,0.01223096268964511,0.01223096268964511,0.00014959644831549074
2019Q1,0.015729135192334556,0.01333126638752508,0.01333126638752508,0.00017772266349515598
2019Q2,0.010639008148923927,0.022403223461733086,0.022403223461733086,0.0005019044214763478
2019Q3,0.009010264272851901,0.014596808241424678,0.014596808241424678,0.0002130668108369234
2019Q4,0.012098051749323947,0.009346701013579279,0.009346701013579279,8.736081983724393e-05
2020Q1,0.014632764283745428,0.018335853257822336,0.018335853257822336,0.00033620351469239394
2020Q2,0.014888192818333219,0.009316549529667513,0.009316549529667513,8.679809513874796e-05
2020Q3,0.015064615938364398,0.012862228470077675,0.012862228470077675,0.00016543692121647667
2020Q4,0.010476054562114782,0.01759174660369888,0.01759174660369888,0.0003094695485687511
2021Q1,0.020883693133182765,0.02099396825626756,0.02099396825626756,0.00044074670314517
2021Q2,0.011270921812895462,0.03155711852144828,0.03155711852144828,0.0009958517293767342
2021Q3,0.011367664865849928,0.03082229298258796,0.03082229298258796,0.000950013744704491
2021Q4,0.015882366684459265,0.024804432287044362,0.024804432287044362,0.0006152598610825688
2022Q1,0.016343047035175882,0.030307136533241002,0.030307136533241002,0.0009185225248445115
2022Q2,0.012358971618018296,0.03085774699576408,0.03085774699576408,0.0009522005496545872
2022Q3,0.01565096119147533,0.016644629788308836,0.016644629788308836,0.0002770437007898578
2022Q4,0.018571203107964663,-0.007536051438147711,0.007536051438147711,5.6792071278408185e-05
2023Q1,0.016376785417430754,-9.213807631473888e-05,9.213807631473888e-05,8.489425106980646e-09
2023Q2,0.01688857228653435,0.009273207670201618,0.009273207670201618,8.599238049468613e-05
2023Q3,0.015263613920351813,0.006436387736421079,0.006436387736421079,4.142708709355166e-05
2023Q4,0.016807759074194434,0.006398720878328592,0.006398720878328592,4.094362887875823e-05
2024Q1,0.01907084975207548,0.014625759866738496,0.014625759866738496,0.00021391285167949846
2024Q2,0.010867231471474444,0.02035649635357131,0.02035649635357131,0.000414386943792962
2024Q3,0.010564509155097589,0.017305407866146094,0.017305407866146094,0.0002994771414136711
2024Q4,0.012784318660236167,0.010585305885868786,0.010585305885868786,0.00011204870069740836
2025Q1,0.016342316496223683,0.018625212439029558,0.018625212439029558,0.0003468985383989814
2025Q2,0.013973139287097664,0.020711304577611535,0.020711304577611535,0.00042895813730659254
2025Q3,0.015344235404783465,0.016749337666769185,0.016749337666769185,0.00028054031227545297
