model,term,coef,se_hac,t,p,n,r2,adj_r2
baseline_full,const,0.015971897598516728,0.001296447885487101,12.31973747445758,7.092479723718352e-35,42,0.06538314951301505,0.017454080257272242
baseline_full,abs_rm,-0.22589433732505154,0.15574930335395828,-1.4503714139361545,0.14695497419526993,42,0.06538314951301505,0.017454080257272242
baseline_full,rm2,4.17975756124143,4.0788659777634715,1.0247352043504208,0.3054881472357672,42,0.06538314951301505,0.017454080257272242
up_markets,const,0.014891081369206485,0.0017735784980788824,8.396065573266881,4.616878746738138e-17,40,0.024041816453384324,-0.028712679954540743
up_markets,abs_rm,-0.12114370737395985,0.21480168053551066,-0.5639793276846946,0.5727682009743684,40,0.024041816453384324,-0.028712679954540743
up_markets,rm2,1.8439760771619689,5.4274623747502995,0.3397492142443096,0.7340453962913356,40,0.024041816453384324,-0.028712679954540743
down_markets,const,0.016349625267601368,6.922149018517927e-18,2361929109567467.5,0.0,2,1.0,
down_markets,abs_rm,0.2947764032671361,8.593560318488766e-16,343020113133940.8,0.0,2,1.0,
down_markets,rm2,0.0022485989160319544,6.555329681133737e-18,343018433154236.4,0.0,2,1.0,
extreme_top10pct_abs_rm,const,-0.6857932447552733,0.16155743201147252,-4.244888249440445,2.1870238781864123e-05,5,0.5690338842082867,0.13806776841657342
extreme_top10pct_abs_rm,abs_rm,48.60591967381497,11.281772641445581,4.308358377587982,1.644707364914724e-05,5,0.5690338842082867,0.13806776841657342
extreme_top10pct_abs_rm,rm2,-841.2027383699752,195.82222170801856,-4.2957470864785385,1.7410599097945713e-05,5,0.5690338842082867,0.13806776841657342
